ID,name,X,Y
1,临川,116.35134,27.98478
2,南昌,115.89772,28.6749
3,宣城,118.7425,30.94694
4,南京,118.76899,32.05256
5,北京,116.368,39.93143
6,黄州,114.86549,30.44699
7,杭州,120.16862,30.29412
8,绍兴,120.57826,30.00451
9,吉安,114.97128,27.10324
10,赣州,114.93248,25.847
11,保昌,114.30209,25.11884
12,梅岭,114.33871,25.32237
13,广州,113.25607,23.13462
14,东莞,113.74982,23.04662
15,南海,113.25607,23.13462
16,香山,113.3736,22.52581
17,澳门,113.552,22.2
18,长沙,112.97813,28.1982
19,恩平,112.30747,22.19195
20,阳江,111.95895,21.84542
21,琼州,110.35794,20.00817
22,徐闻,110.16278,20.32968
23,肇庆,112.45316,23.05692
24,遂昌,119.26347,28.58789
25,温州,120.65322,28.01829
26,丽水,119.91301,28.44873
27,滕县,117.15701,35.08502
